dates,Policy rate,Inflation,Inflation expectation
2011-07-01,6.25,6.311368409103801,
2011-08-01,5.75,6.653476540418302,
2011-09-01,5.75,6.154017981794824,
2011-10-01,5.75,7.655607348505633,
2011-11-01,5.75,9.484649122807,
2011-12-01,5.75,10.448171569975262,
2012-01-01,5.75,10.61336254107339,
2012-02-01,5.75,10.433317022780408,
2012-03-01,5.75,10.427720628045488,
2012-04-01,5.75,11.13794954374665,
2012-05-01,5.75,8.280488444001888,
2012-06-01,5.75,8.868566567418101,
2012-07-01,5.75,9.06518605520259,
2012-08-01,5.75,8.883235278528655,
2012-09-01,5.75,9.185122836551107,
2012-10-01,5.75,7.798889511486928,
2012-11-01,5.75,6.36955433149724,
2012-12-01,5.5,6.163803833706738,
2013-01-01,5.5,7.3076542231904185,
2013-02-01,5.5,7.025403702244959,
2013-03-01,5.5,7.290645224553827,
2013-04-01,5.0,6.133784110118312,
2013-05-01,4.5,6.51468951164027,
2013-06-01,4.5,8.297519046688805,
2013-07-01,4.5,8.884428997993044,
2013-08-01,4.5,8.16823248795211,
2013-09-01,4.5,7.882437966754985,
2013-10-01,4.5,7.711936489934779,
2013-11-01,4.5,7.315695320591287,
2013-12-01,4.5,7.400459597617592,
2014-01-01,10.0,7.751222663098645,
2014-02-01,10.0,7.889047334284016,
2014-03-01,10.0,8.385504729698855,
2014-04-01,10.0,9.38339021615473,
2014-05-01,9.5,9.6560185395556,
2014-06-01,8.75,9.163472378804949,
2014-07-01,8.25,9.31936702032008,
2014-08-01,8.25,9.536024481346473,
2014-09-01,8.25,8.856236880889657,
2014-10-01,8.25,8.96288496972888,
2014-11-01,8.25,9.150728197929459,
2014-12-01,8.25,8.169948910527935,
2015-01-01,7.75,7.2407296394621845,6.81
2015-02-01,7.5,7.5466871322589,6.69
2015-03-01,7.5,7.610253815667423,6.78
2015-04-01,7.5,7.912801098306765,6.91
2015-05-01,7.5,8.092988562904036,6.85
2015-06-01,7.5,7.204527615978851,7.0
2015-07-01,7.5,6.814162931282652,7.05
2015-08-01,7.5,7.140509449465893,7.04
2015-09-01,7.5,7.946992697136301,7.25
2015-10-01,7.5,7.581430929661392,7.34
2015-11-01,7.5,8.102242585001207,7.42
2015-12-01,7.5,8.80833198772808,7.56
2016-01-01,7.5,9.578758235176688,7.92
2016-02-01,7.5,8.777354900095148,7.96
2016-03-01,7.5,7.4599380950515215,7.89
2016-04-01,7.5,6.56540344654768,7.78
2016-05-01,7.5,6.582327007858901,7.81
2016-06-01,7.5,7.637470617702591,7.6
2016-07-01,7.5,8.793408793408775,7.59
2016-08-01,7.5,8.045095482782427,7.61
2016-09-01,7.5,7.2821253468131175,7.62
2016-10-01,7.5,7.159431137724548,7.61
2016-11-01,8.0,7.000520484794404,7.87
2016-12-01,8.0,8.533056318171695,8.04
2017-01-01,8.0,9.218772773648155,8.19
2017-02-01,8.0,10.128289233909182,8.21
2017-03-01,8.0,11.29179275896015,8.15
