dates,Portfolio investment,Direct investment,Other investment,Financial account
2008-05-01,-0.5676666666666667,1.719,2.4356666666666666,2.5373333333333337
2008-06-01,0.989,1.8493333333333333,3.6136666666666666,5.401666666666667
2008-07-01,1.9956666666666667,2.0736666666666665,3.2153333333333336,6.211
2008-08-01,0.8046666666666666,1.6453333333333333,4.261333333333333,6.853333333333333
2008-09-01,-0.387,1.3016666666666667,3.1763333333333335,4.229333333333333
2008-10-01,-2.2746666666666666,1.4563333333333333,2.307,1.7053333333333334
2008-11-01,-2.1673333333333336,1.3533333333333333,0.3263333333333333,-0.3043333333333333
2008-12-01,-1.8356666666666668,1.3346666666666667,-1.5586666666666666,-1.879
2009-01-01,-0.5233333333333333,1.0873333333333333,-2.114,-1.3696666666666668
2009-02-01,-0.8576666666666666,0.928,-1.827,-1.5756666666666668
2009-03-01,-1.0473333333333332,0.7483333333333334,-1.3543333333333332,-1.4266666666666667
2009-04-01,-0.475,0.645,-1.5973333333333333,-1.2786666666666668
2009-05-01,1.0703333333333334,0.653,-1.756,0.08133333333333333
2009-06-01,0.9136666666666666,0.521,-1.044,0.39066666666666666
2009-07-01,1.048,0.4933333333333333,-0.307,1.2343333333333333
2009-08-01,0.3773333333333333,0.6306666666666666,0.5373333333333333,1.5453333333333332
2009-09-01,0.4026666666666667,0.7096666666666667,1.0923333333333332,2.2046666666666663
2009-10-01,-0.04033333333333334,0.675,1.222,1.8566666666666667
2009-11-01,-0.24066666666666667,0.48,0.9873333333333334,1.2266666666666668
2009-12-01,-0.19333333333333333,0.365,1.9526666666666668,2.1243333333333334
2010-01-01,0.395,0.2916666666666667,1.8423333333333332,2.529
2010-02-01,-0.26566666666666666,0.3126666666666667,2.341,2.388
2010-03-01,0.9316666666666666,0.3626666666666667,2.112,3.4063333333333334
2010-04-01,2.1126666666666667,0.3673333333333333,4.000333333333334,6.558666666666667
2010-05-01,2.9246666666666665,0.3033333333333333,3.866,7.206666666666667
2010-06-01,1.709,0.4033333333333333,3.846,6.184333333333333
2010-07-01,1.1333333333333333,0.648,1.3446666666666667,3.3526666666666665
2010-08-01,1.8146666666666667,0.7536666666666666,1.0476666666666667,3.8556666666666666
2010-09-01,1.718,0.6616666666666666,0.882,3.5053333333333336
2010-10-01,1.1983333333333333,0.5383333333333333,2.1066666666666665,4.008
2010-11-01,0.6756666666666666,0.6003333333333334,3.1003333333333334,4.624
2010-12-01,1.0023333333333333,1.1113333333333333,4.573333333333333,6.937
2011-01-01,1.0916666666666668,0.801,5.027333333333333,7.17
2011-02-01,1.5,0.83,4.024666666666667,6.604333333333333
2011-03-01,3.1116666666666664,1.1463333333333332,3.0816666666666666,7.518666666666667
2011-04-01,4.142333333333333,1.366,3.2913333333333337,9.062666666666667
2011-05-01,3.507,1.3836666666666668,5.031333333333333,10.104666666666667
2011-06-01,2.5886666666666667,0.746,4.852,8.370333333333335
2011-07-01,1.456,1.431,3.025,6.011666666666667
2011-08-01,0.8063333333333333,1.4213333333333333,0.403,2.9663333333333335
2011-09-01,-0.571,1.424,1.147,2.3346666666666667
2011-10-01,-0.803,0.7353333333333334,0.842,1.109
2011-11-01,0.6313333333333334,0.4956666666666667,3.355,4.727666666666667
2011-12-01,2.2726666666666664,1.2876666666666667,-0.9113333333333333,2.894
2012-01-01,2.2856666666666667,1.432,-0.3293333333333333,3.6333333333333333
2012-02-01,1.647,1.5926666666666667,-2.203,1.278
2012-03-01,1.7383333333333333,0.8453333333333334,0.9386666666666666,3.7153333333333336
2012-04-01,1.641,0.674,2.5573333333333337,5.065333333333333
2012-05-01,1.4986666666666668,0.9306666666666666,4.046333333333333,6.667
2012-06-01,1.7373333333333332,1.2396666666666667,3.817,6.985333333333333
2012-07-01,3.726,1.314,1.7993333333333332,7.030666666666667
2012-08-01,4.338,1.1126666666666667,1.5396666666666667,7.132
2012-09-01,4.635333333333333,0.5643333333333334,0.09566666666666668,5.437
2012-10-01,4.293666666666667,0.5083333333333333,1.3586666666666667,6.302333333333333
2012-11-01,5.288,0.393,0.222,6.046
2012-12-01,5.565,0.5633333333333334,0.9983333333333334,7.269666666666667
2013-01-01,4.036,0.632,2.14,6.951
2013-02-01,3.2753333333333337,0.7383333333333334,3.01,7.167333333333333
2013-03-01,2.422,0.7796666666666666,3.8756666666666666,7.221
2013-04-01,5.063666666666667,0.6796666666666666,3.6416666666666666,9.528666666666666
2013-05-01,4.483666666666667,0.6693333333333333,2.1143333333333336,7.407666666666667
2013-06-01,3.2423333333333333,0.5443333333333333,2.6683333333333334,6.595333333333333
2013-07-01,-0.804,1.1876666666666666,2.53,3.054
2013-08-01,-0.5926666666666667,1.123,3.6363333333333334,4.166666666666667
2013-09-01,0.39566666666666667,1.0943333333333332,2.2173333333333334,3.7073333333333336
2013-10-01,2.5263333333333335,0.5796666666666667,1.289,4.395
2013-11-01,2.2303333333333333,0.638,1.8153333333333332,4.683666666666667
2013-12-01,1.476,0.8906666666666666,2.026,4.392666666666667
2014-01-01,0.4953333333333333,0.9903333333333334,-0.064,1.4216666666666666
2014-02-01,-0.19766666666666666,1.2136666666666667,-0.16666666666666666,0.8493333333333334
2014-03-01,-0.48533333333333334,1.129,-0.3803333333333333,0.2633333333333333
2014-04-01,0.7356666666666666,1.0593333333333332,2.3256666666666663,4.120666666666667
2014-05-01,1.5383333333333333,0.6193333333333334,2.0683333333333334,4.226
2014-06-01,4.233333333333333,0.5863333333333334,1.4383333333333332,6.258
2014-07-01,3.9166666666666665,0.6173333333333334,-0.628,3.906
2014-08-01,2.819,0.23966666666666667,0.715,3.7736666666666667
2014-09-01,0.8406666666666667,0.18733333333333335,1.285,2.313
2014-10-01,0.568,0.069,2.705,3.342
2014-11-01,2.2383333333333333,0.09533333333333333,1.9506666666666668,4.284333333333333
2014-12-01,1.9796666666666667,0.193,2.018666666666667,4.191333333333333
2015-01-01,1.5346666666666668,0.5383333333333333,3.4053333333333335,5.478333333333333
2015-02-01,0.5416666666666666,1.1893333333333334,1.493,3.224
2015-03-01,-0.4456666666666667,1.1326666666666667,1.617,2.304
2015-04-01,-0.4553333333333333,0.8843333333333334,-0.10466666666666667,0.3243333333333333
2015-05-01,-1.1493333333333333,0.8836666666666666,0.09,-0.17566666666666667
2015-06-01,-0.5023333333333333,0.8173333333333334,0.8453333333333334,1.1603333333333332
2015-07-01,-1.7406666666666668,1.3966666666666667,2.0086666666666666,1.6646666666666667
2015-08-01,-1.5673333333333332,1.679,1.2753333333333332,1.387
2015-09-01,-2.2013333333333334,1.5876666666666668,-0.149,-0.7626666666666666
2015-10-01,-1.5386666666666668,1.327,-2.1356666666666664,-2.3473333333333333
2015-11-01,-1.8243333333333334,0.8073333333333333,-0.5643333333333334,-1.5813333333333333
2015-12-01,-1.4736666666666667,1.1846666666666668,-0.315,-0.604
2016-01-01,-1.7803333333333333,0.8543333333333334,1.8753333333333333,0.9493333333333334
2016-02-01,-0.593,0.8866666666666666,1.5303333333333333,1.824
2016-03-01,0.8106666666666666,0.727,1.5166666666666668,3.0543333333333336
2016-04-01,2.616,0.6496666666666666,-0.3463333333333333,2.9193333333333333
2016-05-01,2.624,0.733,0.2836666666666667,3.6406666666666667
2016-06-01,2.1476666666666664,0.6803333333333333,3.044,5.872
2016-07-01,1.0936666666666668,0.864,3.084,5.041666666666667
2016-08-01,0.9496666666666667,1.1656666666666669,2.4866666666666664,4.602
2016-09-01,0.030333333333333334,1.1003333333333332,-1.1456666666666668,-0.015
