dates,Retail sales,Industrial Production
2012-08-01,3.9246467817896313,-0.7990932551910968
2012-09-01,6.7524115755627,7.161457886003464
2012-10-01,6.151419558359628,1.5110247276320266
2012-11-01,5.854430379746844,1.0469254867227606
2012-12-01,7.60697305863709,2.5036710117226413
2013-01-01,6.973058637083995,4.070587806143866
2013-02-01,8.688783570300163,7.888796942908272
2013-03-01,7.332293291731684,5.161857788738189
2013-04-01,6.574923547400613,4.851672696231879
2013-05-01,6.4024390243902385,4.667371807227738
2013-06-01,7.022900763358764,8.694205548333866
2013-07-01,5.918057663125942,7.047895763408918
2013-08-01,7.85498489425982,5.574944306291618
2013-09-01,7.2289156626506035,9.22947700485215
2013-10-01,7.42942050520059,7.936225870178437
2013-11-01,7.623318385650224,10.096368449842785
2013-12-01,7.3637702503681846,8.072795371059517
2014-01-01,10.222222222222221,11.45195544700368
2014-02-01,4.796511627906974,8.127460227139881
2014-03-01,4.3604651162790775,8.572853464489016
2014-04-01,2.295552367288378,6.764216951171087
2014-05-01,3.4383954154727947,5.08893724098014
2014-06-01,4.279600570613407,3.9608239161978753
2014-07-01,3.7249283667621924,7.142716967802221
2014-08-01,2.5210084033613356,4.836175280494137
2014-09-01,4.915730337078661,3.6739078433933425
2014-10-01,2.904564315352709,3.5267681674243434
2014-11-01,5.138888888888893,3.7045500785818364
2014-12-01,3.566529492455417,4.045462017976864
2015-01-01,2.2849462365591267,0.009577777269509369
2015-02-01,5.686546463245512,0.8986590041076159
2015-03-01,7.660167130919215,4.85785829170764
2015-04-01,8.555399719495105,6.188669598712537
2015-05-01,7.479224376731297,7.6793261372170685
2015-06-01,5.471956224350216,6.555353964865462
2015-07-01,8.977900552486195,3.335667478686233
2015-08-01,6.9672131147541005,11.763224815570151
2015-09-01,5.2208835341365445,6.923797741421334
2015-10-01,4.435483870967727,5.634153924179741
2015-11-01,3.038309114927351,7.146137125195984
2015-12-01,5.1655629139072845,8.137750599274618
2016-01-01,1.0512483574244502,7.775695644529823
2016-02-01,5.118110236220463,8.93641525988036
2016-03-01,2.069857697283317,3.5998736645519225
2016-04-01,2.8423772609818876,3.399982491943554
2016-05-01,2.577319587628857,5.0791966280917755
2016-06-01,2.2049286640726473,3.59733961855222
2016-07-01,-1.9011406844106515,-2.0770955022169746
2016-08-01,0.12771392081738497,2.2538705270118697
2016-09-01,1.526717557251911,-0.7200387621528748
2016-10-01,5.019305019305009,6.152425205372425
2016-11-01,5.769230769230771,3.1194148078660833
2016-12-01,0.881612090680095,1.6612148456268017
2017-01-01,4.03120936280883,3.2094079326049574
2017-02-01,1.2484394506866447,3.696018028204495
2017-03-01,3.4220532319391594,6.169252486960453
2017-04-01,2.7638190954773822,8.857740403122438
2017-05-01,4.271356783919611,5.763979811494124
